,article,unit_price
0,baguette,0.9
1,pain_au_chocolat,1.2
2,pain,1.15
3,traditional_baguette,1.2
4,croissant,1.1
5,banette,1.05
6,banettine,0.6
7,special_bread,2.4
8,sand_jb_emmental,3.5
9,kouign_amann,2.1
10,boule_200g,1.1
11,boule_400g,1.5
12,gal_frangipane_6p,12.0
13,campagne,1.8
14,moisson,2.0
15,cafe_ou_eau,1.0
16,brioche,5.0
17,cereal_baguette,1.25
18,seigle,1.8
19,complet,1.5
20,gal_frangipane_4p,8.0
21,cookie,1.0
22,ficelle,0.6
23,pain_aux_raisins,1.4
24,gal_pomme_6p,12.0
25,gal_pomme_4p,8.0
26,financier_x5,3.0
27,vik_bread,2.5
28,gache,5.0
29,sandwich_complet,4.5
30,pain_banette,1.4
31,grand_far_breton,7.0
32,quim_bread,1.0
33,special_bread_kg,4.8
34,gd_kouign_amann,7.5
35,boule_polka,1.6
36,demi_baguette,0.45
37,chausson_aux_pommes,1.4
38,baguette_graine,1.3
39,sucette,0.3
40,boisson_33cl,1.5
41,pates,4.5
42,formule_sandwich,6.5
43,croissant_amandes,1.4
44,pain_choco_amandes,1.5
45,sachet_viennoiserie,4.0
46,nantais,2.5
47,chocolat,1.5
48,pain_s/sel,1.5
49,fondant_chocolat,2.5
50,gal_poire_choco_6p,12.0
51,gal_poire_choco_4p,8.0
52,galette_8_pers,16.0
53,sand_jb,3.0
54,sachet_de_crouton,1.6
55,grande_sucette,0.6
56,demi_pain,0.6
57,tartelette,2.0
58,flan,2.0
59,paris_brest,2.0
60,savarin,2.0
61,flan_abricot,2.1
62,baguette_apero,4.5
63,milles_feuilles,2.0
64,chou_chantilly,2.0
65,eclair,2.0
66,royal_4p,12.0
67,tarte_fruits_6p,12.0
68,tarte_fruits_4p,9.0
69,noix_japonaise,2.0
70,the,1.5
71,briochette,0.8
72,royal_6p,18.0
73,eclair_fraise_pistache,2.1
74,triangles,2.5
75,tropezienne,2.0
76,tropezienne_framboise,2.1
77,royal,3.0
78,tarte_fraise_6p,18.0
79,tartelette_fraise,3.0
80,tarte_fraise_4per,12.0
81,fraisier,3.0
82,nid_de_poule,2.5
83,tartelette_choc,2.5
84,pain_de_mie,2.0
85,crumble,2.0
86,financier,0.7
87,cake,3.0
88,viennoise,1.1
89,traiteur,1.5
90,traiteur,7.0
91,traiteur,5.5
92,traiteur,7.5
93,traiteur,8.5
94,traiteur,6.5
95,traiteur,6.0
96,traiteur,8.0
97,pain_graines,2.0
98,traiteur,14.0
99,"platprepare6,50",6.5
100,"platprepare5,50",5.5
101,"platprepare7,00",7.0
102,formule_plat_prepare,8.0
103,st_honore,3.0
104,brownies,2.5
105,religieuse,2.5
106,"platprepare6,00",6.0
107,traiteur,17.0
108,crumble,6.0
109,traiteur,9.5
110,traiteur,16.0
111,traiteur,21.0
112,delicetropical,3.0
113,traiteur,11.0
114,traiteur,4.5
115,traiteur,12.0
116,crumblecaramel_ou_pistae,6.0
117,nantais,5.0
118,pt_nantais,3.0
119,gd_nantais,11.0
120,traiteur,13.0
121,traiteur,12.5
122,traiteur,2.0
123,traiteur,3.5
124,traiteur,24.0
125,traiteur,22.5
126,traiteur,35.0
127,traiteur,15.0
128,traiteur,9.0
129,traiteur,13.5
130,douceur_d_hiver,3.0
131,trois_chocolat,3.0
132,traiteur,28.0
133,traiteur,18.0
134,traiteur,14.5
135,gd_far_breton,7.0
136,traiteur,14.6
137,traiteur,8.3
138,traiteur,9.8
139,traiteur,7.6
140,traiteur,9.1
141,traiteur,15.2
142,tarte_fine,7.0
143,traiteur,16.6
