ticket_number,total_ticket
150040.0,4.5
150041.0,3.55
150042.0,6.0
150043.0,5.1000000000000005
150044.0,1.05
150045.0,10.2
150046.0,21.0
150048.0,3.3000000000000003
150049.0,3.4000000000000004
150050.0,2.4
150051.0,1.15
150052.0,3.0
150053.0,8.2
150054.0,4.4
150055.0,4.8
150056.0,8.65
150058.0,7.0
150059.0,4.8
150060.0,4.8
150061.0,3.5
150062.0,5.4
150063.0,18.2
150064.0,3.5
150065.0,5.5
150066.0,6.7
150067.0,3.4000000000000004
150068.0,1.2
150069.0,12.75
150070.0,5.65
150071.0,9.4
150072.0,1.2
150073.0,1.2
150074.0,0.6
150075.0,1.8
150076.0,2.4
150077.0,6.1
150078.0,13.2
150079.0,11.3
150080.0,5.7
150081.0,1.2
150082.0,4.8
150083.0,1.2
150084.0,11.45
150085.0,4.8
150086.0,4.65
150087.0,1.8
150088.0,2.4
150089.0,0.9
150090.0,5.7
150091.0,14.3
150092.0,8.4
150093.0,1.7999999999999998
150094.0,5.25
150095.0,9.6
150096.0,4.9
150097.0,1.2
150098.0,4.1
150099.0,1.05
150100.0,2.4
150101.0,18.9
150102.0,0.9
150103.0,10.1
150104.0,4.0
150105.0,15.450000000000001
150106.0,4.2
150107.0,1.8
150108.0,1.2
150109.0,10.55
150110.0,15.2
150111.0,1.2
150112.0,14.850000000000001
150113.0,17.5
150114.0,1.2
150115.0,2.1
150116.0,3.6
150117.0,3.3
150118.0,3.5999999999999996
150119.0,16.0
150120.0,6.0
150121.0,2.1
150122.0,10.5
150123.0,12.0
150124.0,0.9
150125.0,3.0
150126.0,1.05
150127.0,1.2
150128.0,0.9
150129.0,2.1
150130.0,1.05
150131.0,1.2
150132.0,6.0
150133.0,2.6
150134.0,1.05
150135.0,12.0
150136.0,2.8
150137.0,2.4
150138.0,9.2
150139.0,9.1
150140.0,3.0
150141.0,0.9
150142.0,0.9
150143.0,7.0
150144.0,2.4
150145.0,3.5999999999999996
150146.0,1.5
150147.0,20.8
150148.0,3.0
150149.0,1.2
150150.0,0.9
150151.0,3.6
150152.0,1.8
150153.0,1.5
150154.0,3.9
150155.0,7.9
150156.0,2.4
150157.0,1.2
150158.0,4.2
150159.0,16.0
150160.0,1.25
150161.0,1.2
150162.0,21.8
150163.0,1.5
150164.0,12.9
150165.0,13.1
150166.0,1.05
150167.0,4.8
150168.0,2.4
150169.0,2.4
150170.0,1.2
150171.0,2.1
150172.0,2.4
