,article,unit_price
0,12_macaron,10.0
1,armoricain,2.5
2,baguette,1.0
3,baguette_apero,4.5
4,baguette_graine,1.3
5,banette,1.1
6,banettine,0.6
7,boisson_33cl,1.5
8,bottereau,0.5
9,boule_200g,1.2
10,boule_400g,1.6
11,boule_polka,1.7
12,brioche,6.0
13,brioche_de_noel,6.0
14,briochette,0.8
15,brownies,2.5
16,buche_4pers,14.0
17,buche_6pers,21.0
18,buche_8pers,28.0
19,cafe_ou_eau,1.0
20,cake,3.0
21,campagne,1.9
22,caramel_noix,2.4
23,cereal_baguette,1.35
24,chausson_aux_pommes,1.4
25,chocolat,1.5
26,chou_chantilly,2.2
27,complet,1.5
28,cookie,1.15
29,croissant,1.1
30,croissant_amandes,1.5
31,crumble,6.0
32,crumblecaramel_ou_pistae,6.0
33,delicetropical,3.0
34,demi_baguette,0.5
35,demi_pain,0.6
36,douceur_d_hiver,3.0
37,eclair,2.1
38,eclair_fraise_pistache,2.2
39,entremets,3.5
40,ficelle,0.65
41,financier,0.7
42,financier_x5,3.0
43,flan,2.0
44,flan_abricot,2.2
45,fondant_chocolat,2.5
46,formule_pate,6.5
47,formule_plat_prepare,8.0
48,formule_sandwich,7.0
49,fraisier,3.5
50,framboisier,3.0
51,gache,5.0
52,gal_frangipane_4p,8.0
53,gal_frangipane_6p,12.0
54,gal_poire_choco_4p,8.0
55,gal_poire_choco_6p,12.0
56,gal_pomme_4p,8.0
57,gal_pomme_6p,12.0
58,galette_8_pers,16.0
59,gd_far_breton,7.5
60,gd_kouign_amann,9.0
61,gd_nantais,14.0
62,gd_plateau_sale,18.0
63,grand_far_breton,7.5
64,grande_sucette,0.6
65,guerandais,3.5
66,kouign_amann,2.3
67,macaron,1.0
68,meringue,1.0
69,milles_feuilles,2.3
70,moisson,2.2
71,nantais,5.0
72,nid_de_poule,2.5
73,noix_japonaise,2.0
74,paille,1.5
75,pain,1.15
76,pain_au_chocolat,1.2
77,pain_aux_raisins,1.5
78,pain_banette,1.5
79,pain_choco_amandes,1.7
80,pain_de_mie,2.0
81,pain_graines,2.1
82,pain_noir,0.6
83,pain_s/sel,1.6
84,pain_suisse_pepito,1.6
85,palet_breton,1.5
86,palmier,1.0
87,paris_brest,2.0
88,pates,4.5
89,plaque_tarte_25p,35.0
90,plat,9.1
91,plat_6.50e,6.5
92,plat_7.00,7.0
93,plat_7.60e,7.6
94,plat_8.30e,8.3
95,"platprepare5,50",5.5
96,"platprepare6,00",6.0
97,"platprepare6,50",6.5
98,"platprepare7,00",7.0
99,pt_nantais,3.0
100,pt_plateau_sale,10.0
101,quim_bread,1.0
102,reduction_sucrees_12,10.0
103,reduction_sucrees_24,15.0
104,religieuse,2.5
105,royal,3.0
106,royal_4p,14.0
107,royal_6p,21.0
108,sable_f__p,1.6
109,sachet_de_crouton,1.6
110,sachet_de_viennoiserie,4.0
111,sachet_viennoiserie,4.0
112,sand_jb,3.0
113,sand_jb_emmental,4.0
114,sandwich_complet,5.0
115,savarin,2.0
116,seigle,1.9
117,special_bread,2.4
118,special_bread_kg,5.2
119,st_honore,3.5
120,sucette,0.3
121,tarte_fine,7.0
122,tarte_fraise_4per,14.0
123,tarte_fraise_6p,18.0
124,tarte_fruits_4p,9.0
125,tarte_fruits_6p,12.0
126,tartelette,2.2
127,tartelette_choc,2.5
128,tartelette_cocktail,3.0
129,tartelette_fraise,3.5
130,traditional_baguette,1.25
131,triangles,2.5
132,trois_chocolat,3.0
133,tropezienne,2.0
134,tropezienne_framboise,2.2
135,tulipe,3.5
136,viennoise,1.1
137,vik_bread,2.5
