ticket_number,total_ticket
150040.0,4.9
150041.0,3.9000000000000004
150042.0,6.5
150043.0,5.6
150044.0,1.15
150045.0,11.1
150046.0,22.8
150048.0,3.5999999999999996
150049.0,3.7
150050.0,2.6
150051.0,1.3
150052.0,3.3
150053.0,9.3
150054.0,4.9
150055.0,5.2
150056.0,9.45
150058.0,7.6
150059.0,5.2
150060.0,5.2
150061.0,3.8
150062.0,6.0
150063.0,18.8
150064.0,4.0
150065.0,6.0
150066.0,7.300000000000001
150067.0,3.7
150068.0,1.4
150069.0,14.45
150070.0,6.15
150071.0,10.2
150072.0,1.3
150073.0,1.3
150074.0,0.7
150075.0,2.0
150076.0,2.6
150077.0,6.9
150078.0,13.3
150079.0,11.6
150080.0,6.199999999999999
150081.0,1.3
150082.0,5.2
150083.0,1.3
150084.0,12.5
150085.0,5.2
150086.0,5.05
150087.0,2.0
150088.0,2.6
150089.0,1.0
150090.0,6.1
150091.0,16.4
150092.0,9.2
150093.0,2.0
150094.0,5.75
150095.0,10.5
150096.0,5.4
150097.0,1.3
150098.0,4.5
150099.0,1.15
150100.0,2.6
150101.0,19.5
150102.0,1.0
150103.0,10.3
150104.0,4.6
150105.0,15.75
150106.0,5.3
150107.0,2.0
150108.0,1.3
150109.0,11.450000000000001
150110.0,15.5
150111.0,1.3
150112.0,15.15
150113.0,20.0
150114.0,1.3
150115.0,2.3
150116.0,4.0
150117.0,3.6
150118.0,3.9000000000000004
150119.0,17.0
150120.0,6.5
150121.0,2.3
150122.0,11.0
150123.0,12.0
150124.0,1.0
150125.0,3.8
150126.0,1.15
150127.0,1.3
150128.0,1.0
150129.0,2.3
150130.0,1.15
150131.0,1.3
150132.0,6.5
150133.0,2.9000000000000004
150134.0,1.15
150135.0,13.0
150136.0,3.2
150137.0,2.6
150138.0,9.3
150139.0,9.8
150140.0,3.3
150141.0,1.0
150142.0,1.0
150143.0,7.5
150144.0,2.6
150145.0,3.9000000000000004
150146.0,1.7
150147.0,21.2
150148.0,3.3
150149.0,1.3
150150.0,1.0
150151.0,4.0
150152.0,2.0
150153.0,1.9
150154.0,4.5
150155.0,8.5
150156.0,2.6
150157.0,1.3
150158.0,4.6
150159.0,16.8
150160.0,1.35
150161.0,1.3
150162.0,23.200000000000003
150163.0,1.7
150164.0,13.0
150165.0,13.8
150166.0,1.15
150167.0,5.2
150168.0,2.6
150169.0,2.6
150170.0,1.3
150171.0,2.3
150172.0,2.6
150173.0,15.149999999999999
150174.0,3.9000000000000004
150175.0,3.4499999999999997
150176.0,2.6
150177.0,3.5500000000000003
150178.0,1.15
150179.0,10.3
150180.0,1.3
150181.0,1.0
150182.0,2.9000000000000004
150183.0,1.15
150184.0,10.7
150185.0,10.3
150186.0,2.6
150187.0,16.1
150188.0,24.0
150189.0,10.25
150190.0,10.0
150191.0,3.45
150192.0,1.8
150193.0,4.050000000000001
150194.0,8.5
150195.0,2.7
150196.0,10.0
150197.0,2.0
150198.0,2.0
150199.0,6.3
150200.0,1.9
150201.0,3.2
150202.0,4.1
150203.0,1.2
150204.0,15.0
150205.0,2.0
150206.0,13.2
150207.0,1.2
150208.0,1.2
150209.0,1.7
150210.0,2.0
150211.0,10.0
150212.0,2.2
150213.0,8.0
150214.0,3.2
150215.0,0.5
150216.0,1.2
150217.0,1.7
150218.0,2.0
150219.0,19.5
150220.0,2.0
150221.0,1.9
150222.0,4.6
150223.0,1.3
150224.0,3.7
150225.0,1.9
150227.0,3.75
150228.0,0.5
150229.0,1.3
150230.0,13.8
150231.0,15.4
150232.0,16.9
150233.0,1.15
150234.0,9.7
150235.0,2.45
150236.0,28.75
150237.0,3.0999999999999996
150238.0,2.6
150239.0,12.6
150240.0,7.6
150241.0,6.5
150242.0,1.3
150243.0,3.0
150244.0,8.4
150245.0,9.3
150246.0,1.3
150247.0,8.7
150248.0,3.4
150249.0,12.0
150250.0,4.5
150251.0,2.6
150252.0,11.1
150253.0,2.3
150254.0,9.15
150255.0,2.6
150256.0,7.3
150257.0,5.2
150258.0,8.0
150259.0,1.0
150260.0,13.3
150261.0,6.5
150262.0,11.0
150263.0,5.8
150264.0,1.0
150266.0,1.0
150267.0,2.6
150268.0,2.6
150269.0,0.7
150270.0,2.8
150271.0,5.9
150272.0,3.3
150273.0,2.0
150274.0,6.0
150275.0,1.7
150276.0,2.7
150277.0,8.0
150278.0,12.7
150279.0,1.0
150280.0,1.15
150281.0,2.6
150282.0,1.15
150283.0,1.3
150284.0,1.2
150285.0,4.8999999999999995
150286.0,1.3
150287.0,13.0
150288.0,2.6
150289.0,1.0
150290.0,3.9000000000000004
150291.0,1.3
150292.0,1.3
150293.0,3.0
150294.0,3.55
150295.0,1.3
150296.0,1.3
150297.0,8.0
150298.0,1.3
150299.0,9.3
150300.0,7.800000000000001
150301.0,9.3
150302.0,15.9
150303.0,1.4
150304.0,4.0
150305.0,7.4
150306.0,15.7
150307.0,1.15
150308.0,12.7
150309.0,12.0
150310.0,1.0
150311.0,11.6
150312.0,1.0
150313.0,8.0
150314.0,6.15
150315.0,2.6
150316.0,5.0
150317.0,2.6
150318.0,2.6
150319.0,5.75
150320.0,1.3
150321.0,3.0
150322.0,2.6
150323.0,5.8
150324.0,1.15
150325.0,2.7
150326.0,2.6
150327.0,2.6
150328.0,1.0
150329.0,1.3
150330.0,3.9000000000000004
150331.0,2.7
150332.0,3.85
150333.0,10.7
150334.0,3.25
150335.0,2.0
150336.0,1.15
150337.0,2.3
150338.0,12.0
150339.0,3.4499999999999997
150340.0,3.6
150341.0,1.0
150342.0,20.0
150343.0,14.6
150344.0,1.3
150345.0,2.6
150346.0,1.7
150347.0,2.6
150348.0,12.4
150349.0,3.9
150350.0,1.6
150351.0,2.4
150352.0,3.4499999999999997
150353.0,2.6
150354.0,2.6
150355.0,1.3
150356.0,9.3
150357.0,8.0
150358.0,1.3
150359.0,3.0
150360.0,1.3
150361.0,1.3
150362.0,3.9000000000000004
150363.0,4.0
150364.0,3.3
150366.0,2.6
150367.0,0.7
150368.0,1.3
150369.0,2.2
150370.0,1.5
150371.0,13.0
150372.0,10.6
150373.0,12.0
150374.0,2.6
150375.0,10.6
150376.0,1.3
150377.0,3.3
150378.0,2.75
150379.0,3.9000000000000004
150380.0,14.0
150381.0,4.4
150382.0,1.3
150383.0,3.9000000000000004
150384.0,1.7
150385.0,1.3
150386.0,1.3
150387.0,3.9000000000000004
150388.0,2.2
150389.0,3.4499999999999997
150390.0,2.2
150391.0,1.6
150392.0,1.8
150393.0,1.9
150394.0,7.800000000000001
150395.0,1.15
150396.0,2.6
150397.0,2.6
150398.0,15.0
150399.0,2.3
150400.0,13.3
150401.0,3.2
150402.0,8.0
150403.0,1.3
150404.0,12.0
150405.0,2.5
150406.0,3.2
150407.0,2.6
150408.0,14.3
150409.0,1.0
150410.0,5.4
150411.0,1.3
150412.0,1.3
150413.0,7.800000000000001
150414.0,7.300000000000001
150415.0,14.7
150416.0,2.4
150417.0,1.6
150418.0,2.0
150419.0,5.7
150420.0,1.3
150421.0,5.300000000000001
150422.0,2.3
150423.0,2.6
150424.0,1.3
150425.0,1.3
150426.0,1.3
150427.0,7.6
150428.0,12.0
150429.0,2.6
150430.0,8.8
150431.0,1.3
150432.0,2.8
150434.0,2.4
150435.0,3.25
150436.0,9.0
150437.0,2.6
150438.0,6.0
150439.0,4.6
150440.0,3.5
150441.0,3.0
150442.0,1.4
150443.0,2.2
150444.0,2.7
150445.0,2.5
150447.0,1.3
150448.0,1.3
150449.0,2.6
150450.0,6.9
150451.0,1.0
150452.0,2.0
150453.0,3.4
150454.0,7.800000000000001
150455.0,2.6
150456.0,1.0
150457.0,9.0
150458.0,2.0
150459.0,4.9
150460.0,6.8999999999999995
150461.0,1.0
150462.0,1.3
150463.0,21.3
150464.0,2.7
150465.0,9.1
150466.0,2.0
150467.0,4.6
150468.0,8.5
150469.0,7.65
150470.0,2.6
150471.0,2.6
150472.0,1.7
150473.0,1.7
150474.0,9.0
150475.0,1.0
150476.0,1.2
150477.0,3.2
150478.0,8.0
150479.0,1.3
150480.0,1.3
150481.0,2.6
150483.0,4.5
150484.0,1.15
150485.0,1.3
150486.0,2.3
150487.0,2.0
150488.0,1.7
150489.0,1.7
150490.0,1.0
150491.0,2.7
150492.0,1.3
150493.0,1.15
150494.0,7.800000000000001
150495.0,4.5
150496.0,1.15
150497.0,1.3
150498.0,10.6
150499.0,1.15
150500.0,2.6
150501.0,1.0
150502.0,1.3
150503.0,0.7
150504.0,2.3
150505.0,1.3
150506.0,4.0
150507.0,1.3
150508.0,2.35
150509.0,1.15
150510.0,6.3
150511.0,1.3
150512.0,1.15
150513.0,1.2
150514.0,2.6
150515.0,7.0
150516.0,2.0
150517.0,2.5
150518.0,5.2
150519.0,1.3
150520.0,1.3
150521.0,1.15
150522.0,1.3
150523.0,1.3
150524.0,2.6
150525.0,1.3
150526.0,1.0
150527.0,12.2
150528.0,1.3
150529.0,1.3
150530.0,2.3
150531.0,5.8
150532.0,1.3
150534.0,1.0
150535.0,1.3
150536.0,1.15
150537.0,12.7
150538.0,5.2
150539.0,2.6
150540.0,2.6
150542.0,5.0
150543.0,7.0
150544.0,1.3
150546.0,1.15
150547.0,2.6
150548.0,2.6
150549.0,6.5
150550.0,2.6
150551.0,4.5
150552.0,2.6
150553.0,2.6
150554.0,7.0
150555.0,3.4499999999999997
150556.0,5.800000000000001
150557.0,1.0
150559.0,10.6
150560.0,7.0
150561.0,7.0
150562.0,2.6
150564.0,2.0
150565.0,1.3
150566.0,2.5
150567.0,9.0
150568.0,0.7
150569.0,1.0
150570.0,3.25
150571.0,2.6
150572.0,3.95
150573.0,7.35
150574.0,2.6
150575.0,1.3
150576.0,1.3
150577.0,1.3
150578.0,1.3
150579.0,1.3
150580.0,1.35
150581.0,1.3
150582.0,8.0
150583.0,3.75
150584.0,3.9000000000000004
150586.0,2.6
150587.0,13.0
150588.0,5.75
150589.0,1.3
150590.0,1.3
150591.0,5.2
150592.0,1.15
150594.0,2.0
150596.0,2.7
150598.0,3.4
150599.0,4.4
150600.0,0.5
150601.0,5.4
150602.0,2.75
150603.0,1.0
150604.0,2.6
150605.0,4.35
150606.0,6.65
150607.0,4.0
150608.0,1.3
150609.0,1.8
150610.0,5.7
150611.0,2.6
150612.0,1.3
150613.0,3.9000000000000004
150614.0,2.6
150615.0,5.0
150616.0,19.8
150617.0,1.0
150618.0,2.5
150619.0,1.15
150620.0,0.7
150621.0,6.1499999999999995
150622.0,4.3
150623.0,3.0
150624.0,1.0
150625.0,1.15
150626.0,12.2
150627.0,1.15
150628.0,11.9
150629.0,15.0
150630.0,1.3
150631.0,2.0
150632.0,1.3
150633.0,1.0
150634.0,1.3
150635.0,2.3
150636.0,13.0
150637.0,2.6
150638.0,3.8
150639.0,2.4
150640.0,0.7
150641.0,2.2
150642.0,1.3
150643.0,1.7
150644.0,2.0
150645.0,4.0
150646.0,1.3
150647.0,1.15
150648.0,2.0
150649.0,1.3
150650.0,1.0
150651.0,2.3
150652.0,1.7
150653.0,2.2
150654.0,5.0
150655.0,1.0
150656.0,1.3
150657.0,1.3
150658.0,2.6
150659.0,1.3
150660.0,1.0
150661.0,9.45
150662.0,3.7
150663.0,1.3
150664.0,1.3
150665.0,10.7
150666.0,1.35
150667.0,1.15
150668.0,2.6
150669.0,1.3
150670.0,1.3
150671.0,7.0
150672.0,0.5
150673.0,2.6
150674.0,3.0
150675.0,4.3
150676.0,1.3
150677.0,6.0
150678.0,1.6
150679.0,21.0
150680.0,3.0
150681.0,6.0
150682.0,1.3
150683.0,1.3
150684.0,2.6
150685.0,2.6
150687.0,1.0
150688.0,1.3
150689.0,7.0
150690.0,6.5
150691.0,1.6
150692.0,2.0
150693.0,3.55
150694.0,2.6
150696.0,2.6
150697.0,8.7
150698.0,3.9000000000000004
150699.0,1.15
150700.0,1.3
150701.0,7.0
150702.0,16.2
150703.0,2.6
150704.0,1.35
150705.0,2.6
150706.0,7.0
150707.0,1.3
150708.0,7.0
150709.0,5.2
150710.0,1.35
150711.0,7.0
150712.0,9.0
150713.0,16.0
150714.0,1.3
150715.0,6.3
150716.0,2.6
150717.0,1.6
150718.0,3.9000000000000004
150719.0,2.5
150720.0,1.15
150721.0,1.6
150722.0,1.35
150723.0,1.3
150725.0,4.1
150726.0,2.9000000000000004
150727.0,1.15
150728.0,1.35
150729.0,1.3
150730.0,1.3
150731.0,1.15
150732.0,4.800000000000001
150733.0,2.3
150734.0,2.3
150735.0,1.3
150736.0,1.3
150737.0,2.6
150739.0,2.6
150740.0,1.3
150741.0,1.3
150742.0,1.35
150744.0,1.3
150745.0,7.9
150746.0,3.7
150747.0,1.3
150748.0,2.6
150749.0,1.0
150750.0,3.2
150753.0,5.0
150754.0,1.0
150755.0,1.3
150756.0,1.0
150757.0,8.35
150758.0,2.9000000000000004
150759.0,2.7
150760.0,2.6
150761.0,6.1
150762.0,2.6
150763.0,1.3
150764.0,5.2
150765.0,8.7
150766.0,1.5
150767.0,4.0
150768.0,1.3
150769.0,2.0
150770.0,9.1
150771.0,1.3
150772.0,1.3
150773.0,2.6
150774.0,1.0
150775.0,2.0
150776.0,1.3
150778.0,15.6
150779.0,2.6
150780.0,10.6
150781.0,2.3
150782.0,15.0
150783.0,0.7
150784.0,2.0
150785.0,2.2
150786.0,1.3
150787.0,1.0
150788.0,1.0
150789.0,13.4
150790.0,1.3
150791.0,3.55
150792.0,2.6
150793.0,1.3
150794.0,1.15
150795.0,1.3
150796.0,2.15
150797.0,1.0
150798.0,2.6
150799.0,14.3
150800.0,6.2
150801.0,9.0
150802.0,1.15
150803.0,1.15
